decoy_bad,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se
0.3,SPPO-avg,10,0.2999999999995499,0.0,0.057013937260941214,0.003349527211074683,0.6049999999992723,3.700743415417188e-17,0.9999999999939388,0.0,1.9947829939212003e-10,0.0,2.0794415414823098,0.0
0.3,INPO-avg,10,0.2791623682700861,0.00031175273370927394,0.07785156899040502,0.0033227091996146504,0.567797101074581,0.0004196261848338427,0.6306086612899596,0.0008286583597385228,1.3476200987630707,0.003297524333685782,0.731821442916765,0.0032975243336858108
0.3,MNPO-hist-avg,10,0.25178675044276255,0.0003961744890275261,0.10522718681772854,0.003258180562197214,0.5223214914149735,0.0005106661632324306,0.2302580121215038,0.00016958321363368554,2.0111428285974595,0.0014450961047779837,0.06829871308237687,0.0014450961047779893
0.3,HT-MNPO-mix,10,0.2775413972971189,0.00031827168127971544,0.0794725399633722,0.0033323616570385844,0.5675349397735074,0.0004418247195016438,0.6265519586340879,0.0009129055730539502,1.3559277186213579,0.0035911261151314326,0.7235138230584781,0.0035911261151314617
0.3,RONPO,10,0.355825661846817,2.4828589919773414e-05,0.0011882754136741946,0.003337006616057864,0.5668918343198632,0.0006459086645982014,0.5508984547649642,2.420780893186192e-05,1.1235655510018234,0.00022404508236821338,0.9558759906780121,0.00022404508236820162
0.4,SPPO-avg,10,0.39999999999898517,0.0,-0.0015525304970390509,0.006309608740435501,0.6341666666657739,3.31004553766303e-17,0.9999999999941765,3.700743415417188e-17,1.9924071166485167e-10,0.0,2.0794415414830416,1.4802973661668753e-16
0.4,INPO-avg,10,0.36109188038473317,0.00013246029255357822,0.037355589117212984,0.006364235227153142,0.6004836601350709,0.00019206421824978837,0.7605151272624451,0.0003016901672047857,1.0081829853723194,0.0013213242879074108,1.0712585563075163,0.0013213242879074399
0.4,MNPO-hist-avg,10,0.2805118297961431,0.00036438332107874375,0.11793563970580298,0.006497155126152808,0.5306905253072649,0.0004754160173041919,0.2672187960853064,0.0001685200069484702,1.9831876112999787,0.00132377624212974,0.09625393037985726,0.0013237762421297492
0.4,HT-MNPO-mix,10,0.3602606035631579,0.00013353046670076465,0.03818686593878817,0.0063614665390077,0.6002580955589409,0.00020038486465825134,0.7585786327259141,0.00032681088371481977,1.0138150929839291,0.0014194237685704254,1.0656264486959066,0.001419423768570437
0.4,RONPO,10,0.40504705488554,1.786390065993149e-05,-0.006599585383593875,0.006314738736225759,0.5940539429763845,0.0004662103138914213,0.6652009994774964,3.089985204652892e-05,0.9900018937446621,0.0001476672294904362,1.0894396479351736,0.0001476672294904419
