decoy_bad,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,robust_opt_value
0.04,5,MNPO-hist-avg,0.20806181268012044,0.11051825913114302,0.5118071667122012,0.15138857683871204,2.0445146057495824,0.03492693593025348,0.31858007181126347
0.04,5,HT-MNPO-mix,0.19388857187081177,0.1246914999404517,0.5291508017247603,0.254006789374331,1.817793590142347,0.26164795153748843,0.31858007181126347
0.04,5,RONPO,0.28436124357347736,0.0342188282377861,0.5293056611159673,0.32717777506209506,1.406658231108381,0.6727833105714547,0.31858007181126347
0.04,6,SPPO-avg,0.04043703646671926,0.2513136957440558,0.5292297368375662,0.9975801585614016,0.019212215374478682,2.0602293263053566,0.2917507322107751
0.04,6,INPO-avg,0.19321242024152,0.09853831196925508,0.531116696104949,0.26934305622422394,1.7988795639171118,0.28056197776272407,0.2917507322107751
0.04,6,MNPO-hist-avg,0.2068932749196688,0.08485745729110628,0.5128438467214117,0.15165676388685714,2.041457731358735,0.037983810321100694,0.2917507322107751
0.04,6,HT-MNPO-mix,0.19114378035679244,0.10060695185398263,0.5318125494112168,0.25964573764031007,1.7932906248034366,0.2861509168763995,0.2917507322107751
0.04,6,RONPO,0.28428242455950703,0.007468307651268047,0.5273036688523939,0.3270978926400136,1.407313554973247,0.6721279867065889,0.2917507322107751
0.04,7,SPPO-avg,0.0407153126469257,0.25128278096383766,0.5292070633183554,0.9975869595813789,0.01937531925766852,2.0600662224221673,0.29199809361076334
0.04,7,INPO-avg,0.20610066253581275,0.0858974310749506,0.5268803819796107,0.261851061231445,1.8320821317220464,0.24735940995778913,0.29199809361076334
0.04,7,MNPO-hist-avg,0.2070742501026576,0.08492384350810575,0.510840601570004,0.1511713940172585,2.047144870355957,0.032296671323878784,0.29199809361076334
0.04,7,HT-MNPO-mix,0.2054146749296279,0.08658341868113545,0.5275171324756037,0.25113333127992793,1.8311481351613415,0.24829340651849438,0.29199809361076334
0.04,7,RONPO,0.284195427540033,0.007802666070730324,0.5249215527433956,0.3269775299351706,1.408577606215336,0.6708639354645003,0.29199809361076334
0.04,8,SPPO-avg,0.04042745480277723,0.250308975889546,0.5292623132479887,0.9975626819398538,0.019219277465453623,2.0602222642143824,0.2907364306923232
0.04,8,INPO-avg,0.19057349749882138,0.10016293319350181,0.5393409943021108,0.2844575877587,1.7342047941926326,0.3452367474872033,0.2907364306923232
0.04,8,MNPO-hist-avg,0.2074541311838228,0.08328229950850038,0.517346931849379,0.1528395899919926,2.0280956715274376,0.05134587015239811,0.2907364306923232
0.04,8,HT-MNPO-mix,0.18827213594531877,0.10246429474700441,0.5403784737138165,0.2756294765744531,1.7251988049617646,0.3542427367180713,0.2907364306923232
0.04,8,RONPO,0.284332534430552,0.00640389626177118,0.5299643271679307,0.3271019821134492,1.4063897443141085,0.6730517973657277,0.2907364306923232
0.04,9,SPPO-avg,0.040583589150094794,0.2530101390127267,0.5292187547189713,0.9975849339183742,0.019603481899687802,2.0598380597801476,0.2935937281628215
0.04,9,INPO-avg,0.2008741019311693,0.09271962623165217,0.5296779137664479,0.26674039666241856,1.8103236293397549,0.26911791234008076,0.2935937281628215
0.04,9,MNPO-hist-avg,0.20760867978155326,0.08598504838126822,0.5121769976715537,0.15150019694942063,2.043315912584113,0.0361256290957227,0.2935937281628215
0.04,9,HT-MNPO-mix,0.19949527062906686,0.09409845753375462,0.5303497731646487,0.2562296235485641,1.8073850967871863,0.2720564448926493,0.2935937281628215
0.04,9,RONPO,0.28429026673716046,0.00930346142566102,0.5272303514988694,0.32711395351374706,1.407224083793075,0.6722174578867606,0.2935937281628215
0.06,0,SPPO-avg,0.060138144283542895,0.23383567782826156,0.5350071244273672,0.9995118192397685,0.0047151696397795834,2.074726372040057,0.29397382211180445
0.06,0,INPO-avg,0.20976186260731233,0.08421195950449212,0.5297847223723099,0.2899150074217744,1.8062397407687247,0.2732018009111111,0.29397382211180445
0.06,0,MNPO-hist-avg,0.21250986806307268,0.08146395404873177,0.5123240693801393,0.15663697098352852,2.0429612444212912,0.03648029725854414,0.29397382211180445
0.06,0,HT-MNPO-mix,0.20883977955958166,0.08513404255222279,0.5300349749960297,0.27822225930352185,1.8112236263194277,0.26821791536040807,0.29397382211180445
0.06,0,RONPO,0.2880738378984683,0.005899984213336151,0.5331709305917297,0.34037595867270615,1.3864971357761648,0.6929444059036713,0.29397382211180445
0.06,1,SPPO-avg,0.06010560355779079,0.25826344366303455,0.5350079199121142,0.9995114497903016,0.004715645372801645,2.0747258963070347,0.3183690472208254
0.06,1,INPO-avg,0.2043607141126152,0.11400833310821018,0.5311731528382854,0.29217458005699815,1.7966692354333589,0.2827723062464766,0.3183690472208254
0.06,1,MNPO-hist-avg,0.21302977420096997,0.1053392730198554,0.513126830871618,0.15682059321603228,2.0407910809402137,0.03865046073962192,0.3183690472208254
0.06,1,HT-MNPO-mix,0.20264351652261223,0.11572553069821315,0.5313513733334722,0.28090357447584136,1.7999601367088902,0.27948140497094526,0.3183690472208254
0.06,1,RONPO,0.28818439191804573,0.03018465530277964,0.5353336503089224,0.3404815944510144,1.385417909718992,0.6940236319608435,0.3183690472208254
0.06,2,SPPO-avg,0.060083147667393956,0.26504158767293046,0.5350077295285006,0.9995121945265537,0.004689155265367158,2.074752386414468,0.32512473534032443
0.06,2,INPO-avg,0.19447205439016704,0.1306526809501574,0.5289085239299304,0.28869961565652585,1.811413900367787,0.26802764131204904,0.32512473534032443
0.06,2,MNPO-hist-avg,0.20902219143868733,0.1161025439016371,0.5114979758794614,0.15643509022240568,2.0452809925771156,0.03416054910272001,0.32512473534032443
0.06,2,HT-MNPO-mix,0.19238103077416144,0.132743704566163,0.5292378462485674,0.2784138809229614,1.811263210406493,0.26817833127334306,0.32512473534032443
0.06,2,RONPO,0.28788141899178565,0.03724331634853878,0.5288059453569406,0.34020210666874906,1.3886570319805136,0.6907845096993225,0.32512473534032443
0.06,3,SPPO-avg,0.06009483165413223,0.24489949474423087,0.5350075700029543,0.9995122328137683,0.00469075520925637,2.074750786470579,0.3049943263983631
0.06,3,INPO-avg,0.19922711291910947,0.10576721347925364,0.5288268081300304,0.2884404269505044,1.8125193372879262,0.26692220439190967,0.3049943263983631
0.06,3,MNPO-hist-avg,0.20949380478392685,0.09550052161443626,0.5115139431535061,0.15643628025259354,2.0452539964380447,0.03418754524179077,0.3049943263983631
0.06,3,HT-MNPO-mix,0.19752867870115423,0.10746564769720887,0.529299361111213,0.27826559290239156,1.8116261874996715,0.2678153541801642,0.3049943263983631
