kappa,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,adversary_entropy,robust_opt_value
nan,2,INPO-avg,0.19447205439016704,0.1306526809501574,0.5289085239299304,0.28869961565652585,1.811413900367787,0.26802764131204904,nan,0.32512473534032443
nan,2,MNPO-hist-avg,0.20902219143868733,0.1161025439016371,0.5114979758794614,0.15643509022240568,2.0452809925771156,0.03416054910272001,nan,0.32512473534032443
nan,2,HT-MNPO-mix,0.19238103077416144,0.132743704566163,0.5292378462485674,0.2784138809229614,1.811263210406493,0.26817833127334306,nan,0.32512473534032443
0.005,2,RONPO,0.3029933175579905,0.022131417782333906,0.5272686424990004,0.30309646623105896,1.386552998662593,0.6928885430172427,1.0811740935579894,0.32512473534032443
0.01,2,RONPO,0.30184221132510275,0.023282524015221684,0.5272790517253844,0.3058063346472688,1.3875304448139771,0.6919110968658587,1.0878009567297338,0.32512473534032443
0.02,2,RONPO,0.2994237198892247,0.025701015451099707,0.5276438776501874,0.3140872590458367,1.3809434966568568,0.6984980450229786,1.1529722032636696,0.32512473534032443
0.05,2,RONPO,0.28788141899178565,0.03724331634853878,0.5288059453569406,0.34020210666874906,1.3886570319805136,0.6907845096993225,1.57668489301126,0.32512473534032443
0.1,2,RONPO,0.2720264780351046,0.05309825730521983,0.5287635365120255,0.31329363085531936,1.5642812379894078,0.5151603036904275,2.4218686479197173,0.32512473534032443
0.2,2,RONPO,0.2535747654711189,0.07154996986920553,0.5295965621301822,0.25471832798076555,1.7335324701551256,0.3459090715247102,2.9368155510349614,0.32512473534032443
0.5,2,RONPO,0.23552491272326856,0.08959982261705587,0.5310809278607368,0.20365161181292793,1.7946277340174774,0.28481380766235803,3.135982919931369,0.32512473534032443
1.0,2,RONPO,0.22792196684571753,0.0972027684946069,0.5317339185702988,0.18800820112330172,1.7964684872133696,0.28297305446646603,3.167385006156601,0.32512473534032443
nan,3,SPPO-avg,0.06009483165413223,0.24489949474423087,0.5350075700029543,0.9995122328137683,0.00469075520925637,2.074750786470579,nan,0.3049943263983631
nan,3,INPO-avg,0.19922711291910947,0.10576721347925364,0.5288268081300304,0.2884404269505044,1.8125193372879262,0.26692220439190967,nan,0.3049943263983631
nan,3,MNPO-hist-avg,0.20949380478392685,0.09550052161443626,0.5115139431535061,0.15643628025259354,2.0452539964380447,0.03418754524179077,nan,0.3049943263983631
nan,3,HT-MNPO-mix,0.19752867870115423,0.10746564769720887,0.529299361111213,0.27826559290239156,1.8116261874996715,0.2678153541801642,nan,0.3049943263983631
0.005,3,RONPO,0.30299287345338843,0.0020014529449746687,0.5272686398285179,0.3030974639394593,1.386553537394133,0.6928880042857027,1.0811751344939757,0.3049943263983631
0.01,3,RONPO,0.3018419662344897,0.00315236016387338,0.5272790775510265,0.3058070903599845,1.3875300699335318,0.6919114717463037,1.0878053003022048,0.3049943263983631
0.02,3,RONPO,0.2994236562311526,0.005570670167210523,0.5276438106690492,0.31408760563131305,1.380942942801071,0.6984985988787642,1.1529732647779651,0.3049943263983631
0.05,3,RONPO,0.2878965321256255,0.01709779427273761,0.5287413350064663,0.3402175188068385,1.388727219600707,0.6907143220791285,1.5782919508472295,0.3049943263983631
0.1,3,RONPO,0.2725399330912979,0.03245439330706518,0.5284643380346966,0.313258639680217,1.5642796329457467,0.5151619087340893,2.42562117610306,0.3049943263983631
0.2,3,RONPO,0.25514380832886707,0.04985051806949603,0.5291779117779818,0.25376334136029854,1.7357283144646392,0.3437132272151967,2.9374227336904983,0.3049943263983631
0.5,3,RONPO,0.23735880350471097,0.06763552289365213,0.5307657219616294,0.20147705777915428,1.7988811233128394,0.2805604183669963,3.135626906207565,0.3049943263983631
1.0,3,RONPO,0.22924071932527496,0.07575360707308815,0.5315386302163347,0.1860715180856093,1.7999032062712053,0.2795383354086306,3.1672224615085405,0.3049943263983631
nan,4,SPPO-avg,0.06008758998539833,0.25426337695422796,0.5350062650885254,0.9995122150799233,0.004718180184949558,2.0747233614948866,nan,0.3143509669396263
nan,4,INPO-avg,0.19732854521989276,0.11702242171973351,0.5292291710045922,0.2890086225546455,1.8100966739334794,0.2693448677463564,nan,0.3143509669396263
nan,4,MNPO-hist-avg,0.21126391115613613,0.10308705578349014,0.5118974773268791,0.15652896891574786,2.0441836336057966,0.035257908074038724,nan,0.3143509669396263
nan,4,HT-MNPO-mix,0.1951379035762065,0.11921306336341977,0.5293908070630002,0.27833563624240326,1.8109833774394162,0.2684581642404194,nan,0.3143509669396263
0.005,4,RONPO,0.30299087461159246,0.01136009232803381,0.531917217674021,0.3031018080841649,1.386556434761522,0.6928851069183135,1.081175558550635,0.3143509669396263
0.01,4,RONPO,0.30184083212816465,0.012510134811461626,0.5319018951041993,0.30580929587726163,1.3875325183664482,0.6919090233133876,1.0877997307951883,0.3143509669396263
0.02,4,RONPO,0.29942361506835435,0.014927351871271921,0.532225903204386,0.314087659895126,1.3809431302501485,0.6984984114296873,1.1529558681847967,0.3143509669396263
0.05,4,RONPO,0.2880826626576196,0.02626830428200666,0.5330594546120632,0.3403581266710806,1.3867829902575677,0.6926585514222683,1.570495307504843,0.3143509669396263
0.1,4,RONPO,0.27448787615399894,0.03986309078562733,0.5321516880857614,0.31474202104380516,1.548550472035888,0.5308910696439475,2.4129407349782,0.3143509669396263
0.2,4,RONPO,0.26031972841944817,0.054031238520178104,0.5319393047180115,0.2575063497131532,1.709443643519848,0.36999789815998824,2.9363395230844933,0.3143509669396263
0.5,4,RONPO,0.24617189880800044,0.06817906813162583,0.532392296431453,0.20545242925215285,1.77918815131939,0.30025339036044607,3.1364749806388823,0.3143509669396263
1.0,4,RONPO,0.239839276171115,0.07451169076851127,0.5326170739497025,0.1884798543676854,1.787976555985547,0.2914649856942888,3.1675524779105744,0.3143509669396263
nan,5,SPPO-avg,0.06008579712642311,0.24162331654486316,0.5350064883946142,0.9995123273525833,0.004722453628175621,2.07471908805166,nan,0.3017091136712863
nan,5,INPO-avg,0.19628670618978353,0.10542240748150275,0.5292877294167962,0.2885179848409058,1.812188032436537,0.2672535092432986,nan,0.3017091136712863
nan,5,MNPO-hist-avg,0.210122687705186,0.09158642596610028,0.5120718913789731,0.1565618741302465,2.0437578231959326,0.0356837184839031,nan,0.3017091136712863
nan,5,HT-MNPO-mix,0.1941180726864369,0.10759104098484937,0.5296174071916543,0.27818691783081434,1.8112973290553434,0.26814421262449223,nan,0.3017091136712863
0.005,5,RONPO,0.3029915949603137,-0.001282481289027415,0.5295929459781993,0.303100257725461,1.386555341534817,0.6928862001450187,1.0811763877496436,0.3017091136712863
0.01,5,RONPO,0.301841164151753,-0.00013205048046671664,0.5295907693150013,0.3058088049880616,1.387531300109992,0.6919102415698435,1.0878047077731205,0.3017091136712863
0.02,5,RONPO,0.2994235947430868,0.0022855189281995036,0.5299390332437954,0.3140879336684137,1.3809424291788268,0.698499112501009,1.1529741582889494,0.3017091136712863
0.05,5,RONPO,0.2880172939783189,0.0136918196929674,0.5308988997361727,0.3403607874819953,1.38743494001377,0.6920066016660658,1.575897607457926,0.3017091136712863
0.1,5,RONPO,0.2737569651458725,0.027952148525413778,0.5302486533328278,0.3143902231357237,1.5556582938817007,0.5237832477981349,2.4218207611972224,0.3017091136712863
0.2,5,RONPO,0.25825406468537854,0.04345504898590774,0.5305684935005665,0.255429095129084,1.72420633651971,0.3552352051601256,2.936409691978004,0.3017091136712863
0.5,5,RONPO,0.24216306530209059,0.05954604836919569,0.5318154903302048,0.20175416036660992,1.7911539356009372,0.2882876060788985,3.1354535431602932,0.3017091136712863
1.0,5,RONPO,0.2346019889792713,0.06710712469201499,0.5324363529016263,0.18525345030797735,1.7948364953669858,0.2846050463128501,3.167178626681572,0.3017091136712863
nan,6,SPPO-avg,0.06008236429793176,0.23395881697927104,0.5350090417107553,0.9995111593592378,0.004700140225536493,2.074741401454299,nan,0.2940411812772028
nan,6,INPO-avg,0.19380740940328345,0.10023377187391935,0.5315494445682518,0.29333325348467637,1.791784694454485,0.2876568472253503,nan,0.2940411812772028
nan,6,MNPO-hist-avg,0.20897014088945526,0.08507104038774754,0.513099173372996,0.15683390199467936,2.0407368517521154,0.03870468992772036,nan,0.2940411812772028
nan,6,HT-MNPO-mix,0.19155451836703777,0.10248666291016503,0.5321618790878356,0.2838173715913443,1.7878931694802722,0.29154837219956364,nan,0.2940411812772028
0.005,6,RONPO,0.3029925854439081,-0.008951404166705312,0.5272686752689023,0.3030980538099644,1.3865540713540132,0.6928874703258221,1.081175403374142,0.2940411812772028
0.01,6,RONPO,0.30184163148322063,-0.007800450206017828,0.5272801104747281,0.30580755787898706,1.3875313869333203,0.6919101547465152,1.0878007110614094,0.2940411812772028
0.02,6,RONPO,0.2994236045961673,-0.005382423318964491,0.527660672072413,0.3140876360683547,1.3809432866684144,0.6984982550114215,1.1529870328302583,0.2940411812772028
0.05,6,RONPO,0.28793779105914735,0.006103390218055449,0.5289011738367172,0.340288194809407,1.388083738490884,0.6913578031889518,1.5787620294683578,0.2940411812772028
0.1,6,RONPO,0.2725756555595298,0.021465525717673017,0.5291749675885941,0.3132843668438171,1.5619459749928368,0.5174955666869989,2.422611842966359,0.2940411812772028
0.2,6,RONPO,0.25482101917156663,0.03922016210563617,0.5308102878852432,0.251866899461838,1.7313650854472713,0.34807645623256406,2.9329529305770983,0.2940411812772028
0.5,6,RONPO,0.23640012894564733,0.057641052331555476,0.5333211924423414,0.19620625906991812,1.78723847968141,0.2922030619984255,3.1341851017207434,0.2940411812772028
1.0,6,RONPO,0.2279666923588279,0.06607448891837489,0.534426852581621,0.1796282851946758,1.783530631968059,0.2959109097117766,3.1668128596673712,0.2940411812772028
nan,7,SPPO-avg,0.0601265165250651,0.2463349520343094,0.535005168920872,0.9995125432012975,0.004721951894820492,2.074719589785015,nan,0.3064614685593745
nan,7,INPO-avg,0.20533726326646748,0.10112420529290703,0.5275149352672495,0.2858621092278709,1.8235590923045608,0.2558824493752747,nan,0.3064614685593745
nan,7,MNPO-hist-avg,0.20913310506344496,0.09732836349592955,0.5111134140616366,0.15634125458183504,2.0463605030647436,0.033081038615092165,nan,0.3064614685593745
nan,7,HT-MNPO-mix,0.20435355988286688,0.10210790867650762,0.5280726498517032,0.2752954568012051,1.824105535280105,0.25533600639973086,nan,0.3064614685593745
0.005,7,RONPO,0.3029933385344869,0.0034681300248876057,0.5249443037190206,0.3030964700988647,1.3865528085470733,0.6928887331327624,1.0811763358090283,0.3064614685593745
0.01,7,RONPO,0.30184208470239915,0.0046193838569753565,0.5249673739554105,0.30580700107897374,1.3875293570800995,0.691912184599736,1.0878090463928192,0.3064614685593745
0.02,7,RONPO,0.29942363903086905,0.007037829528505457,0.5253485371354113,0.31408784704028414,1.3809423075097103,0.6984992341701252,1.152989990197842,0.3064614685593745
0.05,7,RONPO,0.2878496890460545,0.018611779513319993,0.5265437964668142,0.34017264361086297,1.389341474471963,0.6901000672078731,1.5822798966670504,0.3064614685593745
