mean_prompt_norm_score,mean_prompt_norm_score_ci95_high,mean_prompt_norm_score_ci95_low,mean_raw_score,mean_raw_score_ci95_high,mean_raw_score_ci95_low,model,objective,win_rate_vs_baseline,win_rate_vs_baseline_ci95_high,win_rate_vs_baseline_ci95_low
0.517324822754964,0.544319898646658,0.49098735869052373,0.8778811827400662,0.893439165330091,0.8619456714352235,simpo,safety,0.5107615894039735,0.542239238410596,0.4768211920529801
0.5273475086763285,0.5542563839733199,0.4999959986527607,0.8787186982615894,0.8939492737220612,0.8629248208557533,sppo_avg,safety,0.5298013245033113,0.5678807947019867,0.49584023178807946
0.5078571303530499,0.5350975630745521,0.479090066079134,0.8774478735513245,0.8936318100682947,0.861576469370861,inpo_avg,safety,0.5099337748344371,0.5447019867549668,0.47433774834437087
0.49077545710169024,0.5188803414675734,0.46318163531020606,0.8753152809395696,0.8910836125051738,0.8594256470534976,ht_mnpo_helpfulness,safety,0.5074503311258278,0.542239238410596,0.4710057947019867
0.5264109829259922,0.5550883616851882,0.49851158332754325,0.8774397894246688,0.8931961564828228,0.8611178164450538,ht_mnpo_safety,safety,0.5115894039735099,0.5463576158940397,0.47760761589403977
0.48316339423465965,0.5102358042764308,0.45638719349483176,0.8742336247930463,0.890283041442467,0.8587314226769454,ht_mnpo_conciseness,safety,0.4793046357615894,0.5149006622516556,0.44368791390728474
0.5081133497777811,0.5341689812554323,0.48050096506566153,-0.5954104796150662,-0.5835028844163908,-0.6068931731167219,base,conciseness,,,
0.5021883796325918,0.529722857317085,0.47429471069086443,-0.5964420141763245,-0.585109159962231,-0.6076651263710678,ronpo_full_expect,conciseness,0.48344370860927155,0.5165562913907285,0.45281456953642385
0.5018989601115834,0.5296561483411697,0.47401572175220735,-0.595510722785596,-0.5838089898722062,-0.606395312176635,ronpo_k_only,conciseness,0.49503311258278143,0.5298013245033113,0.4602649006622517
0.5085112465655839,0.5359898663351055,0.48123850492861314,-0.5967443605132451,-0.5853208023980754,-0.6078211500155215,ipo,conciseness,0.4958609271523179,0.5314569536423841,0.46192052980132453
0.4983830380574104,0.5251191008878889,0.4705392518718916,-0.5959294805463576,-0.584538339779077,-0.6067991951443502,simpo,conciseness,0.5057947019867549,0.5405629139072847,0.4718543046357616
0.5042344181385006,0.5328244053997453,0.4758126989302216,-0.5961623033940397,-0.5850050768315397,-0.6070094228580298,sppo_avg,conciseness,0.5115894039735099,0.5488410596026491,0.4768211920529801
0.5034176392408539,0.5317676374539863,0.47664546139213765,-0.5959456487996688,-0.5845128747801117,-0.6064945852519661,inpo_avg,conciseness,0.5074503311258278,0.5422185430463576,0.4726614238410596
0.4970581671228481,0.5252955484594224,0.4700752903023345,-0.594970703125,-0.5834990848768625,-0.6058771196580092,ht_mnpo_helpfulness,conciseness,0.48344370860927155,0.5173841059602649,0.44950331125827814
0.5087828045163888,0.5360787553354435,0.4821975001523875,-0.5957160596026491,-0.5846146539347061,-0.606888686426428,ht_mnpo_safety,conciseness,0.49834437086092714,0.5339403973509934,0.46274834437086093
0.47787062958022686,0.5050475122186581,0.44920052975578684,-0.5976788855546358,-0.5863037917787666,-0.6085722866437293,ht_mnpo_conciseness,conciseness,0.4685430463576159,0.5033112582781457,0.43129139072847683
