rho,seed,method,worst_case,robust_gap,avg_ref,entropy,kl_to_ref,robust_opt_value
0.0,9,RONPO,0.33900684433336553,-0.023170347865849594,0.52598705472048,2.29504236984889,0.1898642799391098,0.31583649646751594
0.25,0,SPPO-avg,0.15736265334774624,0.10979643607255474,0.5398954880881099,1.3795173043801685,1.1053893454083594,0.267159089420301
0.25,0,INPO-avg,0.30698558193405356,-0.03982649251375259,0.523326312531248,2.2768565349933336,0.20805011479466665,0.267159089420301
0.25,0,MNPO-hist-avg,0.26568634198139035,0.0014727474389106265,0.5119982678204236,2.4493687413486365,0.03553790843936424,0.267159089420301
0.25,0,HT-MNPO-mix,0.30508605607605643,-0.037926966655755456,0.5233121910326193,2.2734768493231936,0.21142980046480692,0.267159089420301
0.25,0,RONPO,0.36649215552990866,-0.09933306610960768,0.5132242761221134,2.3505043538306847,0.13440229595731631,0.267159089420301
0.25,1,SPPO-avg,0.11686999008126098,0.16231122777158574,0.5382861942197712,0.7543941392741296,1.730512510514872,0.2791812178528467
0.25,1,INPO-avg,0.2492693580563116,0.02991185979653513,0.5341251608153001,2.160252786955381,0.32465386283261927,0.2791812178528467
0.25,1,MNPO-hist-avg,0.24651115692297196,0.03267006092987476,0.5130554256580403,2.4449938177130144,0.039912832074986235,0.2791812178528467
0.25,1,HT-MNPO-mix,0.24743439490214206,0.03174682295070466,0.5349536727950046,2.144668867794005,0.34023778199399507,0.2791812178528467
0.25,1,RONPO,0.3344959748421785,-0.055314756989331804,0.5127673430864026,2.3127645902104303,0.17214205957757028,0.2791812178528467
0.25,2,SPPO-avg,0.09740631718738081,0.17021649684769036,0.5696882506195537,0.8524802615764875,1.6324263882120171,0.26762281403507115
0.25,2,INPO-avg,0.20721586187904292,0.06040695215602823,0.5340413330071788,2.1768427098344576,0.30806393995354314,0.26762281403507115
0.25,2,MNPO-hist-avg,0.21468086950314919,0.05294194453192197,0.5208794778506833,2.423885333456342,0.06102131633165922,0.26762281403507115
0.25,2,HT-MNPO-mix,0.20791908794762032,0.05970372608745084,0.5341956682428013,2.1645522036320726,0.3203544461559273,0.26762281403507115
0.25,2,RONPO,0.28095326914283103,-0.013330455107759875,0.5145127678696614,2.367028144190503,0.11787850559749743,0.26762281403507115
0.25,3,SPPO-avg,0.1800574021525434,0.1659529929556654,0.5082063361013022,1.6683004064874314,0.8166062433005689,0.3460103951082088
0.25,3,INPO-avg,0.309131314648879,0.036879080459329805,0.5125382368215783,2.361156341123591,0.12375030866440974,0.3460103951082088
0.25,3,MNPO-hist-avg,0.2962983791442175,0.049712015963991274,0.5054162703063527,2.4685650957361274,0.016341554051873628,0.3460103951082088
0.25,3,HT-MNPO-mix,0.3099094030710153,0.036100992037193524,0.5128378151403893,2.3546936012053585,0.13021304858264215,0.3460103951082088
0.25,3,RONPO,0.33161842566612454,0.014391969442084263,0.5070902215540719,2.4031062113690695,0.08180043841893099,0.3460103951082088
0.25,4,SPPO-avg,0.13384364373403493,0.15400815636655177,0.5439286173022214,1.3322796052111021,1.1526270445774254,0.2878518001005867
0.25,4,INPO-avg,0.3092669410560092,-0.021415140955422518,0.525626631819865,2.2594783848678652,0.2254282649201352,0.2878518001005867
0.25,4,MNPO-hist-avg,0.3141923469192568,-0.026340546818670096,0.5112549400901611,2.451102968900148,0.033803680887851545,0.2878518001005867
0.25,4,HT-MNPO-mix,0.30708533343538635,-0.019233533334799657,0.5261154151844754,2.2501848234409625,0.23472182634703845,0.2878518001005867
0.25,4,RONPO,0.3486734085915087,-0.060821608490922,0.517448972245617,2.330406485103103,0.15450016468489727,0.2878518001005867
0.25,5,SPPO-avg,0.09242628238256315,0.18430967610980667,0.6087335045061708,0.620934237576018,1.8639724122138683,0.2767359584923698
0.25,5,INPO-avg,0.3014333121684766,-0.02469735367610676,0.5466160568867663,2.0580431542196367,0.4268634955683638,0.2767359584923698
0.25,5,MNPO-hist-avg,0.30303797599893567,-0.026302017506565856,0.518448047482601,2.4276853634820923,0.05722128630590782,0.2767359584923698
0.25,5,HT-MNPO-mix,0.3023498789713851,-0.025613920479015284,0.5481611162521232,2.0297202326339545,0.4551864171540455,0.2767359584923698
0.25,5,RONPO,0.3461756104680668,-0.06943965197569696,0.525106788070581,2.279634792556793,0.2052718572312077,0.2767359584923698
0.25,6,SPPO-avg,0.16395578094030067,0.04562922470888023,0.5317463883578949,1.4276163327622404,1.0572903170260393,0.2095850056491809
0.25,6,INPO-avg,0.2521045965846774,-0.04251959093549648,0.5309897538459649,2.2037239054375704,0.28118274435043017,0.2095850056491809
0.25,6,MNPO-hist-avg,0.28117251432449963,-0.07158750867531874,0.5133662517052497,2.4449031063588267,0.04000354342917362,0.2095850056491809
0.25,6,HT-MNPO-mix,0.24713109686271162,-0.037546091213530725,0.5317478147668858,2.1873099343282436,0.29759671545975624,0.2095850056491809
0.25,6,RONPO,0.3232036917364939,-0.11361868608731299,0.5115867353044978,2.4093760893850527,0.07553056040294756,0.2095850056491809
0.25,7,SPPO-avg,0.11811600182998445,0.2109914521445817,0.5387448666105031,1.6706166791090364,0.8142899706789644,0.32910745397456614
0.25,7,INPO-avg,0.23942035905625503,0.08968709491831112,0.5144708245169927,2.3534652844445993,0.1314413653434011,0.32910745397456614
