condition,alpha,method,n_seeds,true_min_surplus_mean,true_min_surplus_std,true_avg_surplus_mean,true_nash_welfare_mean,true_exploitability_mean,bt_deviance_mean,distance_to_nbpo_target_mean,reference_min_surplus_mean
matched_step,1.0,BT-RM-utilitarian,5,-0.12098858543720237,0.020226743779454555,-0.10925929219597544,,0.40809356547258224,0.849292670153806,,0.0
matched_step,1.0,Fixed-reference Nash,5,-0.09949689300272091,0.015915375942107023,-0.09338793863662664,,0.3942419674131429,0.849292670153806,,0.0
matched_step,1.0,Game-utilitarian,5,-0.1644902548592668,0.010032941981416936,-0.155460223618541,,0.4285284404206008,0.849292670153806,,0.0
matched_step,1.0,NBPO,5,-0.1647016665385141,0.010435584760052472,-0.15583065791144915,,0.4294363300670695,0.849292670153806,,0.0
native,0.0,BT-RM-Nash,5,0.0946955044418453,0.01417841162468592,0.10621716710009285,-9.00018160247915,0.3260305664999172,0.004803586053091502,0.6895198696252688,0.0
native,0.0,BT-RM-utilitarian,5,0.08308547191997229,0.023578708912032464,0.10711970522907718,-9.050695346828537,0.32646536231016465,0.004803586053091502,0.748350648926276,0.0
native,0.0,Fixed-reference Nash,5,0.09407438809820157,0.013108817462836469,0.10617507285435808,-8.998871673763196,0.3275256424497,0.004803586053091502,0.5213528673987778,0.0
native,0.0,Game-KS,5,0.09350985637032444,0.014836207608939195,0.10684213748405655,-8.98114906239847,0.32310804895645195,0.004803586053091502,0.17046829071048436,0.0
native,0.0,Game-utilitarian,5,0.0822524260517897,0.019915860203869724,0.10777526449034361,-9.013672760503418,0.3232230257955984,0.004803586053091502,0.24938812191035656,0.0
native,0.0,NBPO,5,0.09706971842075177,0.011841410559029722,0.10694409699587397,-8.964025219158195,0.32297854595575515,0.004803586053091502,0.0,0.0
native,0.25,BT-RM-Nash,5,0.06409327166516068,0.006978454296108005,0.07390402124673866,-10.456918852064002,0.28520573669614013,0.06832308419066464,0.8797711359227176,0.0
native,0.25,BT-RM-utilitarian,5,0.05503125828724618,0.008261893303398262,0.07444888343005415,-10.507703974989633,0.2860431512116641,0.06832308419066464,0.9227635847662713,0.0
native,0.25,Fixed-reference Nash,5,0.06444361488643532,0.006245723883454333,0.07383958037920761,-10.455807208874852,0.2854015751296168,0.06832308419066464,0.8432757064330266,0.0
native,0.25,Game-KS,5,0.06157470046827691,0.010918965438308392,0.07321658864660822,-10.51644103331538,0.27497385805274555,0.06832308419066464,0.33317005362465146,0.0
native,0.25,Game-utilitarian,5,0.057369009281326336,0.01312032419547972,0.07500600817121503,-10.475260950909888,0.27857166845543624,0.06832308419066464,0.45985773712692213,0.0
native,0.25,NBPO,5,0.056676774702655794,0.006335519972123712,0.0723526039897467,-10.572252076224823,0.27422425818355095,0.06832308419066464,0.0,0.0
native,0.5,BT-RM-Nash,5,0.016830422498470273,0.0032502199506304016,0.025267124052837125,-14.94732837743552,0.28809205650260133,0.2112989647372588,10.851402702509189,0.0
native,0.5,BT-RM-utilitarian,5,0.010207595557327314,0.006127942680349464,0.025355201769401387,-15.497452968200113,0.2891514250449006,0.2112989647372588,10.786591644826558,0.0
native,0.5,Fixed-reference Nash,5,0.017114416708490073,0.0033498558548062706,0.025395093414417914,-14.918153978528045,0.2884814599599904,0.2112989647372588,10.881780258676413,0.0
native,0.5,Game-KS,5,-0.025702284776446944,0.02936990309048776,0.0011573248918402453,-20.219752387993843,0.3004559517403596,0.2112989647372588,12.831081451951277,0.0
native,0.5,Game-utilitarian,5,-0.002428637821188849,0.007034885725940466,0.012887423688289743,-18.701402005310307,0.3155220988861977,0.2112989647372588,11.594123124607307,0.0
native,0.5,NBPO,5,-0.060254424152188416,0.013916578456723915,-0.013778752084582046,,0.2839803308899097,0.2112989647372588,0.0,0.0
native,0.75,BT-RM-Nash,5,-0.042945792229519275,0.005747256200250872,-0.03583990456422651,,0.326503807017177,0.4452642105183836,55.91320842825375,0.0
native,0.75,BT-RM-utilitarian,5,-0.04753562533213475,0.0036013764335416664,-0.03602678715075514,,0.32766819412509207,0.4452642105183836,55.90104956670783,0.0
native,0.75,Fixed-reference Nash,5,-0.04198899119332532,0.005136567736158648,-0.03467528025358354,,0.32406219431719446,0.4452642105183836,56.00551823949009,0.0
