batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
2048,1,RONPO-stochastic,0.24829839196662162,0.07007065525420375,0.5235520685598523,0.26364588415880913,1.8297221588904642,0.24971938278937147
4096,1,RONPO-stochastic,0.2497303598114683,0.06863868740935708,0.5228324621045816,0.24863093386492838,1.8472826083074627,0.2321589333723729
exact,2,RONPO-exact,0.28788141899178565,0.03724331634853878,0.5288059453569406,0.34020210666874906,1.3886570319805136,0.6907845096993225
8,2,RONPO-stochastic,0.19675834062918088,0.12836639471114356,0.49275854242007394,0.09027987244214339,2.019263653795515,0.06017788788432059
16,2,RONPO-stochastic,0.21017351242461607,0.11495122291570836,0.5022124718701376,0.15031212947264128,2.0276426702716055,0.05179887140823037
32,2,RONPO-stochastic,0.21007268880158447,0.11505204653873996,0.5107546137940943,0.1813670242578621,1.9892368788326686,0.09020466284716724
64,2,RONPO-stochastic,0.2419880965895396,0.08313663875078484,0.5142133639134155,0.15250758744600926,1.9319298284068778,0.14751171327295798
128,2,RONPO-stochastic,0.23858251860780086,0.08654221673252357,0.5222764926553193,0.30638749315245295,1.7796441132324698,0.299797428447366
256,2,RONPO-stochastic,0.24873800934588547,0.07638672599443896,0.5211374242839485,0.24050437989546697,1.8460673369729417,0.2333742047068938
512,2,RONPO-stochastic,0.26031996261323076,0.06480477272709367,0.517639998171092,0.2523381323289128,1.7962356072990877,0.28320593438074776
1024,2,RONPO-stochastic,0.24754888013536555,0.07757585520495888,0.5174206681522097,0.24708602848754238,1.8663274307468984,0.21311411093293714
2048,2,RONPO-stochastic,0.24974818769849172,0.07537654764183271,0.5172913121108582,0.25718616632916247,1.8390506749611184,0.24039086671871776
4096,2,RONPO-stochastic,0.2500838049678932,0.07504093037243126,0.5183941699238014,0.25943177798956363,1.8342704423861091,0.24517109929372669
exact,3,RONPO-exact,0.2878965321256255,0.01709779427273761,0.5287413350064663,0.3402175188068385,1.388727219600707,0.6907143220791285
8,3,RONPO-stochastic,0.21872246852141533,0.08627185787694777,0.4994477849032359,0.04030434670692437,1.939880380388805,0.1395611612910308
16,3,RONPO-stochastic,0.2506679593279355,0.054326367070427595,0.5080617265133269,0.10952842617119843,1.744114724122264,0.33532681755757177
32,3,RONPO-stochastic,0.23046321791155006,0.07453110848681305,0.5090266510019731,0.1794121815448361,1.8634343351819316,0.21600720649790411
64,3,RONPO-stochastic,0.25270144327422817,0.05229288312413494,0.5167767787288756,0.1886214151032831,1.8930788925926498,0.1863626490871861
128,3,RONPO-stochastic,0.21678888847908068,0.08820543791928243,0.5145256279154227,0.31442833867452014,1.8336644338055808,0.2457771078742551
256,3,RONPO-stochastic,0.2289639919094715,0.0760303344888916,0.515266070876894,0.290160649849845,1.8556212827315424,0.22382025894829344
512,3,RONPO-stochastic,0.2584741027283712,0.04652022366999192,0.516941673957716,0.2008273957054609,1.8788001860638983,0.2006413556159376
1024,3,RONPO-stochastic,0.25432751241774654,0.050666813980616565,0.5180627172921239,0.23635904912316794,1.8525324922946826,0.22690904938515347
2048,3,RONPO-stochastic,0.2578336686168974,0.04716065778146572,0.5201054383347125,0.24944462738654163,1.8089746710273704,0.27046687065246516
4096,3,RONPO-stochastic,0.24867352416899274,0.05632080222937036,0.5198670709257844,0.25213324202566567,1.8432959096737696,0.23614563200606584
exact,4,RONPO-exact,0.2880826626576196,0.02626830428200666,0.5330594546120632,0.3403581266710806,1.3867829902575677,0.6926585514222683
8,4,RONPO-stochastic,0.21433226354113424,0.10001870339849203,0.49287785095492037,0.17160243091800156,1.9514465780455408,0.1279949636342949
16,4,RONPO-stochastic,0.2457556000072652,0.06859536693236107,0.5098115749537065,0.10048145362889802,1.9804572997912544,0.09898424188858145
32,4,RONPO-stochastic,0.2200443196093993,0.09430664733022698,0.5100944295686508,0.14286767805471465,1.9640614350984607,0.11538010658137512
64,4,RONPO-stochastic,0.23588565343840795,0.07846531350121833,0.5175162104480678,0.2406299059914214,1.868553763169649,0.21088777851018656
128,4,RONPO-stochastic,0.2608056404339825,0.05354532650564375,0.524024399349195,0.2903451901835634,1.6626897299509793,0.41675181172885656
256,4,RONPO-stochastic,0.24505060570468723,0.06930036123493905,0.5259315304205184,0.25565536166629266,1.8092608290277712,0.27018071265206434
512,4,RONPO-stochastic,0.2483711510989076,0.06597981584071869,0.5166006880789475,0.23486440457600077,1.8839599498056698,0.19548159187416578
