custom_id,prompt_id,left_model,right_model,model_a,model_b,order,input_tokens_est
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_armo_s2|ronpo_s2_ckpt1400|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_armo_s2,flip,621.5
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|htmnpo_armo_s2|ronpo_s2_ckpt2457|flip,019eeea084b493f23ee14fb43babe26becbf8a19,htmnpo_armo_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_armo_s2,flip,755.5
ronpo-s2-gpt55|019eeea084b493f23ee14fb43babe26becbf8a19|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|keep,019eeea084b493f23ee14fb43babe26becbf8a19,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,keep,864.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|baseline|htmnpo_skywork_s2|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,1371.2
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|baseline|htmnpo_athene_s2|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,874.5
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|baseline|htmnpo_armo_s2|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,baseline,htmnpo_armo_s2,baseline,htmnpo_armo_s2,keep,874.5
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|baseline|ronpo_s2_ckpt1400|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,1634.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|baseline|ronpo_s2_ckpt2457|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,baseline,ronpo_s2_ckpt2457,baseline,ronpo_s2_ckpt2457,keep,1605.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_skywork_s2|htmnpo_athene_s2|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,819.5
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_skywork_s2|htmnpo_armo_s2|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,819.5
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_skywork_s2|ronpo_s2_ckpt1400|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_skywork_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_skywork_s2,flip,1579.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,1550.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_athene_s2|htmnpo_armo_s2|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_athene_s2,htmnpo_armo_s2,keep,322.8
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_athene_s2|ronpo_s2_ckpt1400|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_athene_s2,ronpo_s2_ckpt1400,htmnpo_athene_s2,ronpo_s2_ckpt1400,keep,1083.0
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_athene_s2|ronpo_s2_ckpt2457|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_athene_s2,ronpo_s2_ckpt2457,htmnpo_athene_s2,ronpo_s2_ckpt2457,keep,1054.0
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_armo_s2|ronpo_s2_ckpt1400|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_armo_s2,flip,1083.0
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|htmnpo_armo_s2|ronpo_s2_ckpt2457|flip,02032cc4f266fd12ce154ef2af5d76e39efbe207,htmnpo_armo_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_armo_s2,flip,1054.0
ronpo-s2-gpt55|02032cc4f266fd12ce154ef2af5d76e39efbe207|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|keep,02032cc4f266fd12ce154ef2af5d76e39efbe207,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,keep,1814.2
ronpo-s2-gpt55|024348688588344272308bfffd25bbdb73f4ebc0|baseline|htmnpo_skywork_s2|flip,024348688588344272308bfffd25bbdb73f4ebc0,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,744.0
ronpo-s2-gpt55|024348688588344272308bfffd25bbdb73f4ebc0|baseline|htmnpo_athene_s2|keep,024348688588344272308bfffd25bbdb73f4ebc0,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,812.2
ronpo-s2-gpt55|024348688588344272308bfffd25bbdb73f4ebc0|baseline|htmnpo_armo_s2|flip,024348688588344272308bfffd25bbdb73f4ebc0,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,770.8
ronpo-s2-gpt55|024348688588344272308bfffd25bbdb73f4ebc0|baseline|ronpo_s2_ckpt1400|keep,024348688588344272308bfffd25bbdb73f4ebc0,baseline,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,keep,893.8
ronpo-s2-gpt55|024348688588344272308bfffd25bbdb73f4ebc0|baseline|ronpo_s2_ckpt2457|keep,024348688588344272308bfffd25bbdb73f4ebc0,baseline,ronpo_s2_ckpt2457,baseline,ronpo_s2_ckpt2457,keep,581.2
