alpha,method,n,min_surplus_mean,min_surplus_std,avg_surplus_mean,nash_welfare_mean,kl_from_reference_mean,exploitability_mean,weight_l1_mean,target_log_ratio_l2_mean,fixed_point_residual_max,tv_to_exact_A_mean,tv_to_exact_B_mean,rho_star_mean,min_surplus_over_rho_star_mean
0.75,fixed_reference_native,5,-0.04198899119332532,0.005136567736158651,-0.03467528025358354,,0.9485922812294361,0.32406219431719446,71.29940449769649,60.897443185476504,0.0,0.4310454801048137,0.4375343691662249,0.01708764466886458,-2.457272023559427
0.75,bt_rm_nash,5,-0.04294579222951928,0.005747256200250867,-0.03583990456422652,,0.9628713112779878,0.326503807017177,17.099718003827956,63.46565302081135,0.0,0.43564275403334796,0.4421641656291138,0.01708764466886458,-2.5132657579058195
0.75,reference,5,0.0,0.0,0.0,,0.0,0.11649831645910061,,0.0,,0.24491140094184508,0.23236747444869482,0.01708764466886458,0.0
1.0,A_exact_global_nash,5,0.015827207953337724,0.0019363311156931746,0.017007137406941576,-16.32637899970775,0.1368878167104505,0.16963469713259108,,66.02677762367395,,0.0,0.007371842691926566,0.016920122586074688,0.9354074045753997
1.0,B_exact_proximal_nash,5,0.015830978861200738,0.0019247675297572354,0.016978893995927814,-16.332380910037212,0.12444155597926639,0.16782156917079652,,36.08675244212934,,0.007371842691926566,0.0,0.016920122586074688,0.9356302698557093
1.0,C_practical,5,-0.18507542628202156,0.0032963163675443167,-0.17379626976610035,,1.3658893422134277,0.4470619731808923,607.6099523032119,277.2596359337519,1.0,0.6404012896177382,0.6430531250643378,0.016920122586074688,-10.938184717074048
1.0,C2_exact_inner_solve,5,0.013899396514049525,0.0018898180179166828,0.016552294951556523,-16.46505616019447,0.08838091489676912,0.16120017287606522,41.64571546639525,9.0185379635659,1.9379452977918987e-06,0.03406995826554475,0.02698114406582423,0.016920122586074688,0.8214713837527852
1.0,D_matched_step,5,-0.16470166653851412,0.010435584760052442,-0.15583065791144918,,1.2538311409475686,0.4294363300670695,62.37939379025147,199.82600884086742,0.9999999995768327,0.5979065152079761,0.6007259220456089,0.016920122586074688,-9.73407052464644
1.0,fixed_reference_native,5,-0.09949689300272098,0.015915375942107034,-0.0933879386366267,,0.963278876788714,0.3942419674131429,62.37939379025147,62.05735274263121,0.0,0.49078101430805504,0.49333872847052235,0.016920122586074688,-5.880388424880989
1.0,bt_rm_nash,5,-0.10012627122704672,0.016060282175829547,-0.09416914991181144,,0.9690287611828824,0.3950482237567555,14.734585042612725,63.27746219274127,0.0,0.492591385487848,0.4951541749740178,0.016920122586074688,-5.917585449968959
1.0,reference,5,0.0,0.0,0.0,,0.0,0.1125,,0.0,,0.18966112633533058,0.18300494559514846,0.016920122586074688,0.0
