alpha,method,n_seeds,n_converged,n_used,expected_non_convergent,bt_deviance,rho_star,min_surplus_mean,min_surplus_std,normalized_min_surplus_mean,normalized_min_surplus_std,avg_surplus_mean,nash_welfare_mean,exploitability_mean,kl_from_reference_mean,raw_multiplier_l1_mean,tv_to_exact_proximal_mean,tv_to_exact_global_mean,max_projected_kkt,max_inner_fixed_point
0.5,bt_rm_utilitarian,3,3,3,False,0.040226972779493005,0.033925025536601504,0.03156848058637247,0.0021462043492644985,0.9303457748048878,0.004738607288301393,0.03278434159911919,-13.679835661632735,0.08273835129475231,1.1179519349526708,29.999653854424622,0.042508965776808426,0.14512023418054112,,0.7979661460646195
0.75,reference,3,3,3,False,0.09293331871036727,0.03362943972830179,0.0,0.0,0.0,0.0,0.0,,0.03881433141158011,0.0,,0.6504972993765988,0.7429357206035786,,
0.75,exact_global_nash,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03299775139870748,0.0020299198777657948,0.9812579147806807,0.003705870109862768,0.0344315694990728,-13.481955000534152,0.07992989397744894,1.4321768522422975,,0.10363609024592019,0.0,,
0.75,exact_proximal_nash,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03178285740805925,0.0020367824237074606,0.9450328262683841,0.004167063278017376,0.03290509610422131,-13.66403053756702,0.07524832457396557,1.1155966003679512,,0.0,0.10363609024592019,,
0.75,nbpo_direct,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03178285740605494,0.0020367823584441906,0.9450328263057249,0.00416706669266163,0.03290509609654827,-13.66403053830547,0.07524832416892056,1.115596599629493,122.01949562032057,2.4387187910352216e-08,0.10363608952751857,5.1237236675660824e-11,7.472472046687884e-08
0.75,nbpo_rstep_legacy,3,0,3,True,0.09293331871036727,0.03362943972830179,0.02614786035761424,0.002069512841507551,0.7772125567770015,0.028749736598510996,0.02840030545197267,-14.259196900722321,0.11123191252952529,1.1980248706180345,104.95611598905367,0.15433054462580262,0.23190726464613198,0.01252417748644774,0.999635514678595
0.75,fixed_reference_nash,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03104679243143311,0.002058605655688704,0.9230510758833207,0.004804084107041955,0.0321873347321038,-13.753381133938909,0.09050931039050235,1.1166271085105066,120.74299005915792,0.0595731338805612,0.14682337597315276,0.0,0.0
0.75,bt_rm_nash,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03104369306270173,0.00205824270720451,0.92295908313105,0.004759891671634434,0.032185006091112967,-13.753669010824327,0.09053407925223873,1.1165806243131629,29.999653854424626,0.05968968477307452,0.14688135776163425,0.0,4.440892098500626e-16
0.75,game_utilitarian,3,3,3,False,0.09293331871036727,0.03362943972830179,0.03176057948543686,0.0020370962333888408,0.9443687420995884,0.004284996098557891,0.03291241777943587,-13.663279392588493,0.07529444464360983,1.1164205228704682,122.01949562032057,0.002321583008803238,0.10344375188516967,,3.118801517043579e-08
0.75,game_ks,3,3,3,False,0.09293331871036727,0.03362943972830179,0.031651735703744334,0.00205755333029546,0.9410877778220135,0.002501979456302818,0.03291018084545536,-13.664178951379009,0.07553663465941089,1.1176425214367678,122.01949562032058,0.011998927600671722,0.1033554752873936,,4.571759648630547e-08
0.75,bt_rm_utilitarian,3,3,3,False,0.09293331871036727,0.03362943972830179,0.030990116952201902,0.002082188268423027,0.9213327248574034,0.0055265441142486596,0.03218636218623284,-13.753798493899232,0.09065685289705344,1.1179519349526708,29.999653854424626,0.06023482073187841,0.14699365755695382,,0.7979661460646195
1.0,reference,3,3,3,False,0.1734055926203031,0.03342495521933317,0.0,0.0,0.0,0.0,0.0,,0.03881433141158011,0.0,,0.6534586942872975,0.7352558734853258,,
1.0,exact_global_nash,3,3,3,False,0.1734055926203031,0.03342495521933317,0.03288279001159529,0.002012171585908789,0.9838285726724371,0.0036661277778711108,0.0342988196207217,-13.497348372169915,0.0793427061950801,1.4076985100157626,,0.08886057187154624,0.0,,
1.0,exact_proximal_nash,3,3,3,False,0.1734055926203031,0.03342495521933317,0.03174677018117632,0.0020530929464537126,0.9497049739306833,0.004061814598818463,0.03289863823993696,-13.664732917060894,0.07473633465848567,1.123059704373963,,0.0,0.08886057187154624,,
1.0,nbpo_direct,3,3,3,False,0.1734055926203031,0.03342495521933317,0.031746770179579324,0.002053092893659382,0.9497049739477825,0.004061813877502698,0.03289863819337128,-13.664732922897139,0.07473633563794523,1.123059698537696,122.03864421979443,2.4517259764521804e-08,0.08886057487710154,1.8036416804534383e-10,1.4192997171980082e-07
1.0,nbpo_rstep_legacy,3,0,3,True,0.1734055926203031,0.03342495521933317,0.01903001968868889,0.0018028972849073763,0.5712210950732506,0.06898371074340695,0.021160152889196093,-15.468884468037297,0.15290006482615018,1.31678428533465,115.55381778631862,0.23790316492158867,0.2900847701202809,0.01756685411621106,0.9999997074532114
1.0,fixed_reference_nash,3,3,3,False,0.1734055926203031,0.03342495521933317,0.030251732460817523,0.0019830656849771392,0.9049500905329954,0.008357243793139185,0.03135771193587015,-13.858315190191211,0.09892687765653267,1.1166271085105068,120.74299005915789,0.07163681041006284,0.14272240802376937,0.0,0.0
1.0,bt_rm_nash,3,3,3,False,0.1734055926203031,0.03342495521933317,0.0302471862306674,0.0019814949481650112,0.904815485814272,0.008300270527679031,0.03135379984835667,-13.858805946276881,0.09896261901893359,1.116580624313163,29.999653854424633,0.0717567231320069,0.14278691333721497,0.0,4.440892098500626e-16
1.0,game_utilitarian,3,3,3,False,0.1734055926203031,0.03342495521933317,0.03172788391564285,0.0020535556196813035,0.9491383524903219,0.004179408989893909,0.03290548229229189,-13.664013896515408,0.07477655584328148,1.1238389369884396,122.03864421979443,0.0018873193728750862,0.08863355183716011,,4.979771883739659e-08
1.0,game_ks,3,3,3,False,0.1734055926203031,0.03342495521933317,0.031648512385614634,0.002057083937907021,0.9467458579008373,0.0027347025815084866,0.032911270658872054,-13.663819486816317,0.07498418357055181,1.1256924007281084,122.03864421979443,0.009600676574124197,0.08834904019703325,,5.2327519262096445e-08
1.0,bt_rm_utilitarian,3,3,3,False,0.1734055926203031,0.03342495521933317,0.030190953436246493,0.002004575580359245,0.9031004385502888,0.008641739737221519,0.03134706795173855,-13.859981534382355,0.09910905679313008,1.1179519349526708,29.999653854424633,0.07218360952921456,0.14286773146389728,,0.7979661460646195
